Bread11     butter water  
Onn111    off top   
Love11     hate sex  
Bird11     fly girl   
London   city town   
Drive    car driver  
Drink    water beer  
Sky111    blue cloud  
Hot111   cold cool
With111   without out   
Quickly111   fast slowly  
Carefully   carelessly slowly      
drink	drank	drunk	
drive	drove	driven	
dwell	dwelt	dwelt	
eat	ate	eaten	
fall	fell	fallen	
feed	fed	fed	
feel	felt	felt	
fight	fought	fought	
find	found	found	
fit	fit	fit	
flee	fled	fled	
fling	flung	flung	
fly	flew	flown	
forbid	forbade	forbidden	
forecast forecast	forecast
